Date,Time,Location,Operator,FlightNo,Route,Type,Registration,cnIn,Aboard,Fatalities,Ground,Summary
08/27/1992,10:20,"Gimli, Canada",NewCal Aviation,,Test,de Havilland Canada DHC-4T Caribou,N400NC,240,3,3,0,"The aircraft took off at too steep of an angle during a test flight, stalled, rolled to the right and crashed in a nose-down, right wing low attitude."
09/07/1992,12:40,"Hinckley, USA",EXA Inc.,,Local Flight,Beechcraft C-45H,N3657G,AF-461,12,12,0,"After taking off, the plane was seen trailing smoke from the left engine, after which the wing dropped and the plane crashed. Inadequate maintenance and inspection by the operator which resulted in power loss during a critical takeoff phase in flight."
09/16/1992,11:00,"Hana, USA",Air Taxi - Hawaii Helicopters Inc.,,Sightseeing,Aerospatiale AS-350B,N350SM,1488,7,7,0,"Struck a mountain. The pilot inadequately evaluating the en route weather conditions, and the pilot making the in-flight decision to continue VFR flight into adverse weather conditions. Factors in this accident were the inability of the pilot to see and avoid the mountainous terrain due to the thunderstorms."
09/19/1992,12:56,"Bogota, Colombia",Avesca Colombia,,Villavicencio - Mitu,Curtiss C-46F-1-CU,HK-3468X,22436,11,11,0,Crashed short of the runway after attempting an emergency return to the airport after takeoff. Engine failure.
09/21/1992,14:38,"Kular, Russia",Yakutavia,,,Mil Mi-8 (helicopter),RA-22651,,10,10,0,Crashed into power lines at 40m during an approach to land.
10/08/1992,12:54,"Dingxi, China",Wuhan Airlines,,Lanzhou - Xi'an,Avia 14M-40,B-4211,108807113,35,14,0,Crashed 45 miles southeast of Lanzhou while attempting to return to the airport after experiencing engine failure.
10/19/1992,21:28,"Usti Nem, Russia",Syktyvkar Avia,,,Antonov AN-28,CCCP-28785,IAJ005-18,16,15,0,Crashed on takeoff. The aircraft became airborne but then stalled and crashed. Engine failure.
10/31/1992,08:15,"Grand Junction, USA",Air Taxi - Alpine Aviation,,,Piper PA-42,N250TJ,42-8001024,3,3,0,Deviated off course after takeoff and struck a mesa. Improper IFR procedure and resultant disorientation which resulted in a collision with terrain.
11/11/1992,13:19," Tver, Russia",Military - Russian Air Force,,Migalovo AB - Yerevan,Antonov AN-22A,CCCP-09303,53483299,33,33,0,After climbing to a height of 800 ft. the plane dove into the ground. Improper loading and overloaded.
11/24/1992,07:52,"Liutang, China",China Southern Airlines,3943,Guangzhou - Guilin,Boeing B-737-3Y0,B-2523,24913,141,141,0,"The aircraft crashed into a 7,000 ft. mountain, 15 miles from the airport while on apporach. Malfunction of the thrust lever which caused a loss of control of the aircraft."
12/09/1992,17:10,"Uruapan, Mexico",Aero Sudpacifico,,Uruapan - Guadalajara,Britten-Norman BN-2B-27 Islander,XA-RML,864,9,9,0,Crashed in the Sierra Madre mountains shortly after taking off.
01/06/1993,19:20,"Paris, France",Lufthansa Cityline,5634,Bremen - Paris,de Havilland Canada DHC-8-301,D-BEAT,210,23,4,0,"While approaching Charles de Gaulle Airport,  a preceding Korean Air, Boeing 747 blew a tire on landing and the runway was closed. The crew had to use another runway but the aircraft entered a high sink rate and flew into the ground 5,500 feet short of the runway."
01/09/1993,13:04,"Surabaya, Indonesia",Bouraq Indonesia Airlines,,,Hawker Siddeley HS-748-234,PK-IHE,1620,44,17,0,"The No. 2 engine lost power on takeoff. The aircraft crashed into a swamp 800m beyond the end of the runway, broke up and caught fire.  Flaps were found to be retracted.  Right propeller did not autofeather and had to be feathered manually."
01/13/1993,7:33,"Sellafield, England",Titan Airways,,Southend - Glasgow,Embraer 110P1 Bandeirante,G-ZAPE,110391,2,2,0,The cargo plane struck a mountain while descending in fog and poor visibility.
02/20/1993,12:23,"Bogota, Colombia",Cargo Three Panama,,,Convair CV-440,HP-1200CTH,413,2,2,0,The cargo plane attempted to return to the airport after an engine caught fire but crashed in a field.
03/14/1993,22:34,"Grants, Mexico",Air Taxi - Guinn Flying Service,,"Albuquerque, NM - Oakland, CA",Beechcraft 58,N4320W,TH468,4,4,0,"The airplane was in cruise flight along an airway, with a minimum en route altitude of 13,300 feet, when it impacted terrain at an elevation of 10,600 feet. The pilot's inadequate preflight planning/preparation and the selection of an altitude that would not provide terrain clearance along his planned route. Factors were the dark night conditions and the mountainous terrain."
03/23/1993,13:35,"Tangara de Serra, Brazil",Oeste Linhas Aereas,,Cuiaba - Vihena - Rondonia,Embraer EMB-110 Bandeirante,PP-SBJ,110-037,6,6,0,The aircraft crashed approximately 30 minutes after takeoff in rain.
03/31/1993,12:25,"Anchorage, USA",Japan Air Lines,46E,,Boeing B-747-466,N47EV,26348,5,0,0,"The No.2 engine and pylon separated from the aircraft at 2,000 feet. The plane landed safely. The engine separation was due to an encounter with severe or possibly extreme turbulence and a fatigue crack."
06/06/1993,10:16,"El Yopal, Colombia",Aerotaca,,Bogota - El Yopal,de Havilland Canada DHC-6 Twin Otter 300,HK-2759X,771,2,2,0,The cargo plane impacted a hill while on visual approach to El Yopal.
07/12/1993,19:07,"Las Vegas, USA",Hyannis Air Service - Air Taxi,,,Cessna 402C,N818AN,402C0501,3,3,0,The pilot told the local controller that the baggage door was open and he requested a 'go around.' the local controller told the pilot to make right traffic. Multiple witnesses saw the airplane in a nose high attitude during the initial climb after takeoff. They reported the pilot entered a right turn which continued until the airplane 'fell to the ground and hit nose first.  The pilot's failure to maintain adequate airspeed while maneuvering in the traffipattern. A factor which contributed to the accident was the pilot's failure to assure that the nose baggage compartment door was secured.
07/23/1993,15:40,"Yinchuan, China",China Northwest Airlines,2119,Yinchuan - Beijing,British Aerospace 146-300,B-2716,E-3215,113,55,0,The aircraft crashed into a lake after it was unable to get airborne while attempting to takeoff. Mechanical failure. Flaps selected but did not extend.
07/31/1993,13:00,"Devghat, Nepal",Everest Air,,Kathmandu - Bharatpur,Dornier Do-228-101,9N-ACL,7029,19,19,0,"The aircraft flew into a hillside during a visual approach to Bharatpur. The accident happened in daylight and good weather, however,  the mountains were shrouded in clouds."
08/07/1993,15:15,"Augusta, Georgia",Air Taxi - Air Medical Leasing,,,Beechcraft C-90,N90BP,LJ718,4,4,0,The pilot's failure to adequately evaluate inflight weather conditions which resulted in a loss of control when the airplane encountered a thunderstorm.
08/26/1993,22:34," Aldan, Russia",Sakha Airlines,,,Let 410UVP-E,RA-67656,902509,24,24,0,A sudden pitch-up during approach led the crew to go-around.  The pitch-up continued until the plane stalled and crashed.  Improperly loaded baggage shifted the center of gravity beyond the acceptable limit.
09/21/1993,23:17,"Sukhumi, Georgia",Transair Georgia Airlines,,Sochi - Sukhumi,Tupolev TU-134A,CCCP-65893,5340120,27,27,0,Crashed into the sea. Shot down with a missile by Abkhazi separatist rebels.
09/22/1993,18:30,"Sukhumi, Georgia",Transair Georgia Airlines,,Tbilisi - Sukhumi,Tupolev TU-154B,CCCP-85163,76A-163,132,106,0,The aircraft was hit by a missile then crash landed on the runway. Terrorist act  by Abkhazian rebels.
09/23/1993,15:05,"Sukhumi,  Georgia",Transair Georgia Airlines,,Sukhumi - Tbilisi,Tupolev 134A,CCCP-65001,42235,30,1,0,"While on the ground, the aircraft struck by artillery fire from Abkhazian rebels, killing one crew member."
10/26/1993,13:04,"Fuzhou, China",China Eastern Airlines,5398,Shenzen - Fuzhou,McDonnell Douglas MD-82,B-2103,49355,80,2,0,"While landing during a rainstorm, the aircraft went off the end of the runway, into a swamp, collapsing the landing gear and breaking the fuselage into three sections."
11/10/1993,18:05,"Sandy Lake, Canada",Air Manitoba,205,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,C-GQTH,1617,7,7,0,"The aircraft took off and made a low right turn, struck trees and crashed. The crew most likely lost situational awareness and as a result did not detect the increasing deviation from their intended flight path. Contributing factor was the loss of AC power to some of the flight instruments the reason for which could not be determined."
11/13/1993,14:55,"Urumqi, China",China Northern Airlines,6901,Beijing - Urumqi,McDonnell Douglas MD-82,B-2141,49849/1772,102,12,0,"The plane crashed short of the runway while landing in dense fog, hitting power lines and a wall. The autopilot disconnected during approach and re-engaged with the vertical speed mode at 800ft/min."
01/03/1994,12:07,"Irrupts, Russia",Baikal Air,130,Irkutsk - Moscow,Tupolev TU-154M,RA-85656,89A801,124,124,1,"The plane crashed during takeoff following a fire in the No. 2 engine and subsequent loss of the two remaining engines. Faulty air starter unit. Crew took off ignoring the 'starter warning light' thinking it was false.  The crew underestimated the severity of the situation due to shortcomings in the operational documentation.  Breakup of the No.2 engine starter, damaging fuel and oil lines and causing a fire."
10/02/1994,16:36,"Lord Howe Island, Australia",Seaview Aviation,,Newcastle - Lord Howe Island,Rockwell Turbo Commander 690B,VH-SVQ,11380,9,9,0,Crashed at sea 42 minutes after departing.  The pilot reported mechanical problems before contact was lost with the plane.
01/05/1994,18:29,"Okeechobee, USA",Kimura International,,Kissimmee - Opa,Beechcraft King Air B90,N230TW,LJ-0445,10,10,0,"The pilot indicated he had engine trouble and was attempting to land at Okeechobee. When he could not find the airport, he attempted to land on a dirt road. Upon observing a car on the road he aborted the landing rolled to the right and crashed into trees. Improper remedial action concerning a right engine power anomaly and the failure to maintain adequate airspeed during a go-around from a precautionary landing. Failure of the right engine fuel control bearing."
02/24/1994,11:16,"Nalchik, Russia",North Western Air Transport,,Volgograd - Nalchik,Antonov AN-12V,RA-11118,13480002,13,13,0,"While on approach the nose pitched up, the aircraft stalled and crashed short of the runway. Icing of the horizontal stabilizer."
02/25/1994,19:46,"East Midlands, England",British World Airways,4272,Edinburgh - Coventry,Vickers 813 Viscount,G-OHOT,349,2,1,0,"The cargo plane struck trees and high terrain after losing three engines during severe icing. Multiple engine failures occurred as a result of flight in extreme icing conditions. Incomplete performance of the emergency drills by the crew, as a result of not referring to the Emergency Checklist, prejudiced the chances of successful engine re-starts. Crew actions for securing and re-starting the failed engines, which were not in accordance with the operator's procedures, limited the power available. The drag from two unfeathered propellers of the failed engines and the weight of the heavily iced airframe resulted in a loss of height and control before the chosen diversion airfield could be reached. Poor Crew Resource Management reduced the potential for emergency planning, decision making and workload sharing. Consequently, the crew had no contingency plan for the avoidance of the forecast severe icing conditions, and also was unaware of the relative position of a closer diversion airfield which could have been chosen by making more effective use of air traffiservices."
03/02/1994,17:59,"New York, USA",Continental Airlines,795,New York City - Denver,McDonnell Douglas MD-82,N18835,49439,116,0,0,"The aircraft overran the runway and came to rest at the edge of the east river, after an aborted takeoff. Failure to turn on the pilot/statiheat system resulting in erroneous air speed indication. Though heavily damaged, the plane was repaired and put back into service."
03/08/1994,14:54,"New Delhi, India",Sahara,,Training,Boeing 737-2R4C,VT-SIA,21763/571,4,4,0,Crashed during touch-and-go exercises. Application of wrong rudder by trainee pilot  during engine failure exercise. Captain did not guard/block the rudder control and give clear commands as instructor so as to obviate the application of wrong rudder control by the trainee pilot.
03/18/1994,01:56,"Spokane, USA",Salair,,Spokane - Portland,Douglas DC-3C,N3433Y,43089,2,2,0,"The cargo plane lost a right engine during takeoff. The plane tried to return to the airport but crashed. The failure of the pilot-in-command to maintain airspeed. Factors to the accident were: cylinder fatigue, dark night and stall encountered."
03/21/1994,15:20,"Weipa, Australia",Aurukun Air Services,,,Britten-Norman BN-2A-21 Trislander,VH-JUU,632,6,6,0,"Lost an engine while taking off and then lost a second engine and crashed 1,300 ft. beyond the runway."
03/23/1994,12:25,"Bogota, Colombia",Orion - Air Taxi,,Manaus - Bogota,Cessna 650 Citation VI,PT-OMV,650-0200,4,4,0,The plane crashed during an approach to Bogota.
03/23/1994,00:57,"Mezhdurechensk, Russia",Aeroflot Russian International Airways,593,Moscow - Hong Kong,Airbus A310-304,F-OGQS,596,75,75,0,"The aircraft crashed after a captain allowed his child to manipulate the controls of the plane. The pilot's 11 year old daughter and 16 year old son were taking turns in the pilot's seat. While the boy was flying, he inadvertently disengaged the autopilot linkage to the ailerons and put the airliner in a bank of 90 degrees which caused the nose to drop sharply. The co-pilot pulled back on the yoke to obtain level flight but the plane stalled. With his seat pulled all the way back, the co-pilot in the right hand seat could not properly control the aircraft. After several stalls and rapid pull-ups the plane went into a spiral descent. In the end the co-pilot initiated a 4.8g pull-up and ly regained a stable flight path but the aircraft struck the ground in an almost level attitude killing all aboard. The aircraft was named Glinka, after Mikhail Glinka, the father of Russian music."
04/03/1994,16:36,"Lamoille, USA",Air Taxi - El Aero Services Inc.,,,Bell 206B3,N27736,2773,5,5,0,"The helicopter crashed shortly after takeoff. The ingestion of foreign material (snow) in the engine, which resulted in a flameout (loss of engine power). Factors related to the accident were: the adverse weather conditions (snow falling & high density altitude), the lack of snow covers to protect the engine intakes while parked and awaiting for the weather conditions to improve, improper planning/decision by the pilot and the company/operator management, inadequate information in the flight manual, and the lack of suitable terrain for an emergency landing."
04/25/1994,23:59,"Nanga Pinoh, Indonesia",Dirgantara Air Services,,Pontianak - Nanga Pinoh,Britten Norman BN-2A-21 Trislander,PK-ZAA,730,11,11,0,Crashed into Mt. Saran 30 minutes before it was scheduled to land in poor weather condtions.
04/29/1994,14:27,"El Rosa, Colombia",Lineas Aereas de los Libertadores,,Furatena - Quipama - Boyaca - Bogota,Cessna 208 Caravan I,HK-3479,143,9,8,0,Crashed into a mountain while inbound for Bogota.
05/07/1994,22:34,"Sao Gabriel, Brazil",Rico Taxi Aero,,Sao Paulo - Sao Gabriel,Embraer 110 Bandeirante,PT-GJW,110-072,16,8,0,The aircraft was destroyed when it undershot the runway during a visual approach to Sao Gabriel and stuck trees.
05/23/1994,10:55,"Loma Linda, Colombia",Arall,,San Jose - Villavicencio,Pilatus Britten-Norman BN-2B-27 Islander,HK-2890,2111,11,4,0,Crashed while making an emergency landing following engine trouble.
05/28/1994,07:38,"Villavicencio, Colombia",Transoriente Colombia,,Villavicencio - La Primavera - Puerto Carreno,Douglas DC-3 (C-53D-DO),HK-2213,11752,29,7,0,Crashed shortly after taking off after double engine failure.
06/30/1994,17:41,"Toulouse-Blagnac, France",Airbus Industrie,129,Toulouse - Toulouse,Airbus A330-321,F-WWKH,42,7,7,0,"The plane crashed after demonstrating a simulated engine failure on takeoff. Caused by a number of factors relating to the test and actions of the crew none of which singley would have caused the crash. Unexpected mode transition to altitude acquire mode during a simulated  engine failure resulted in excessive pitch, loss of airspeed, and loss of control. Pitch attitude protection not provided in altitude acquire mode."
07/26/1994,19:46,"East Kalimantan, Indonesia",Airfast Services,,Kilo Lima - Kelawit,Sikorsky S-58ET,PK-OBT,58-1098,18,18,0,Crashed 5 minutes after taking off from Kilo Lima.
09/17/1994,11:48,"Fish Egg Inlet, Canada",PacifiCoastal Airlines,,Fish Egg Inlet - Pruth Bay,de Havilland Canada DHC-6 Twin Otter 100,C-FDMR,36,4,3,0,Just as the plane took off there was a pitch-up and stall resulting in the plane crashing into the water. The down elevator control cable failed at station 367 due to corrosion. The failure resulted from salt water induced corrosion. The aircraft had recently undergone a periodiinspection but the damage had apparently not been discovered.
09/26/1994,17:38," Vanavera, Russia",Cheremshanka Airlines,,Krasnoyarsk - Tura,Yakovlev YAK-40,RA-87468,9..1337,28,28,0,"After three landing attempts at Tura, the crew diverted to Vanavarva because of bad weather. The aircraft ran out of fuel and crashed on a river bank about 40 km from Vanavera."
09/30/1994,11:10,"Chaibukha, Russia",Arsenyev Aviation Production Association,,Chaibukha - Provedenia,Antonov AN-8,RA-27209,OA-3460,20,8,0,"The cargo plane failed to gain altitude, overran the runway and crashed."
10/08/1994,15:45,"Mitu, Colombia",SELVA,,Villavicencio - Mitu,Antonov AN-32B,HK3929X,3301,10,10,0,"The plane landed short of the runway bounced, collapsed the landing gear, veered off the runway and crashed into another plane and vehicles."
10/29/1994,14:05,"Batagaj, Russia",Yakutavia,,,Antonov AN-2,RA-33008,1G217-55,19,7,0,Pitched up and crashed on takeoff. Overweight and improperly loaded.
10/29/1994,21:30,"Ust'-Ilimsk, Russia",Aeronica,,Yushno - Ust Ilimsk,Antonov AN-12BP,RA-11790,1340302,23,23,0,The aircraft suddenly pitched down and crashed while on approach. Icing.
11/01/1994,22:34,"Off Cozumel, Mexico",Transportes Aereos Pegaso,,Cozumel - Chichen Itza,Bell 212,XA-SVS,30824,14,14,0,Crashed into the sea off of Cozumel while en route in poor weather condtions.  Fuel exhaustion.
12/21/1994,09:53,"Coventry, England",Phoenix Aviation,702,East Midlands - Coventry,Boeing 737-2D6C,7T-VEE,20758/322,5,5,0,After a go-around the plane struck a transmission tower and crashed.
01/10/1995,8:12,"Off Flores Island, Indonesia",Merpati Nusantara Airlines,6715,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,390,14,14,0,"The aircraft disappeared while en route from Bima, Sumbawa Island to Ruteng, Flores Island, and crashed into the Molo Strait. The accident occurred in daylight, in poor weather."
01/11/1995,19:38,"Cartagena, Colombia",Intercontinental de Aviacion,256,Bogota - Cartagena,McDonnell Douglas DC-9-14,HK-3839X,45742/26,52,51,0,"While descending from FL 190, ground witnesses saw fire and sparks aboard the plane before it crashed and exploded. One nine-year-old girl survived. Her mother threw her out of the plane and she landed in some soft-water lilies. Possible electrical fire. Possible faulty altimeter."
01/11/1995,01:50,"Masset, Canada",Canada Jet Charters,,Vancouver - Masset,Learjet 35,C-GPUN,35-058,5,5,0,
01/12/1995,17:47,"Pleasanton, USA",West Air,,Visalia - Oakland,Cessna 208B Caravan I Super Cargomaster,N754FE,208B-0249,1,1,0,"The cargo plane crashed while on approach. Failure of the pilot-in-command to maintain visual contact with terrain and sufficient altitude for terrain clearance. Factors in the accident were the pilot's decision to initiate a descent 14 miles from the airport, and weather, specifically cloud conditions and darkness."
01/14/1995,04:40,"Blyn, USA",Air Taxi - Coastal Airways Inc.,,"Sequim, WA - Seattle, WA",Cessna 172N,N1535E,17271039,4,3,0,"Departed Sequin inVFR conditons towards a cloud bank, at night, turning south towards upsloping terrain. Pilot reported turbulence and structural problem before crashing. VFR flight into IMC."
01/14/1995,19:45,"Los Angeles, USA",Air Taxi - Wolfe Air Aviation Ltd.,,"Los Angeles, CA - Burbank, CA",Bell 206B,N2209P,3520,4,2,0,Took off and crashed into power lines in rain and fog. Continued VFR flight into IMC.
01/17/1995,13:59,"Kathmandu, Nepal",Royal Nepal Airlines,133,Kathmandu - Rumjatar,de Havilland Canada DHC-6 Twin Otter 300,9N-ABI,392,24,2,0,"The  captain decided to aborted the take-off. However, the aircraft was never brought to a stop and it continued  on overrunning the runway and crashing down a steep slope. Failure of the crew to follow the correct procedure to continue with the rejection of the take-off once that action had been initiated. Lack of crew coordination, insufficient emphasis on emergency training, inadequate enforcement of the requirements of the operations manual and a lack of supervision during loading preparation."
01/20/1995,19:13,"Krasnoyarsk, Russia",Abakan Airlines,,Krasnoyarsk - Abakan,Let 410UVP,RA-67120,790316,19,3,0,"While taking off the aircraft veered to the right and clipped some trees 2,000 ft. past the runway. Overloaded and possible fuel contamination."
01/20/1995,6:21,"Le Bourget, France",Leadair - Charter,,Paris - Romania,Dassault Falcon 20E,F-GHLN,225,10,10,0,"The plane flew into a flock of birds that were injested into the left engine.  The pilot soon after reported an engine fire and that he was returning to the airport.  However, control of the plane was lost and the aircraft crashed."
01/30/1995,19:43,"Kuei Shan Hsiang, China",Transasia Airways,,,Aerospatiale ATR-72,B-22717,435,4,4,0,Crashed while en route on a positioning flight.
03/16/1995,15:40,"Ossora, Russia",Aeroflot,,Petropavlovsk -  Ossora,Antonov 26B,RA-26084,11806,10,9,0,The cargo plane flew into high ground while on approach in poor weather conditons.
03/22/1995,08:12,"Reno, USA",Union Flights,,"Sacramento, CA - Reno, NV",Cessna 208B Caravan I Super Cargomaster,N9417B,208B-0065,1,1,0,The cargo plane crashed into a mountain while on approach. The pilot's failure to comply with published instrument approach procedures by a premature descent below the minimum altitude specified for the approach.
04/27/1995,19:57,"Alice Springs, Australia",IAI 1124 Westwind,,Tindal - Alice Springs,Pel Air,VH-AJS,221,3,3,0,The aircraft struck high ground while attempting to land at Alice Springs after descending below mimimum descent altitude.
05/24/1995,16:51,"Leeds, England",Knight Air,816,Leeds - Aberdeen,Embraer 110 P1 Bandeirante,G-OEAA,110-256,12,12,0,"The crew had serious problems maintaining their heading after both artificial horizons failed shortly after takeoff. The crew had difficulty controlling the aircraft in turbulent conditions and the plane went into a spiral dive and crashed into a field. One or possibly both of the aircraft's artificial horizons malfunctioned and in the absence of a standby horizon, for which there was no airworthiness requirement, there was no single instrument available for assured attitude reference or simple means of determining which flight instruments had failed. The pilot became spatially disoriented and was unable to maintain control."
05/25/1995,15:00,"Miraflores, Colombia",LACOL,,Villavicencio - Miraflores,Douglas DC-3C,HK-3213,25659,11,2,0,
06/14/1995,18:07,"Volgograd, Russia",Volga Air,,Poliny Osipenko - Nikolayevsk-on-Amur,Antonov 2R,CCCP-68142,1G195-47,12,12,0,Crashed in poor weather condtions.
06/16/1995,14:15,"Herputchi, Russia",Aeroflot,,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,RA-07743,1G259-18,14,13,0,Flying VOR the plane ran into poor weather and the pilot decided to return however crashed into trees while attempting to land.
08/09/1995,22:46,"Kaimana, Indonesia",Bourag Indonesia Airlines,,Tual - Langgar - Kaimana,Hawker Siddeley HS-748 2A,PK-KHL,1735,10,10,0,"Crashed into Mt. Komawa at 9,200 ft. in poor weather. Found 8/14/95."
09/02/1995,23:36,"Toronto, Canada",Military - Royal Air Force,,Air Show,British Aerospace Nimrod MR-2P,XV239,8014,7,7,0,"During a low flying turn manuve, at an air show, the pilot caused the plane to stall and crash into the water. The captain made an error of judgement in modifying one of the display manoeuvres to the extent that he stalled the aircraft at a height and attitude from which recovery was impossible."
09/09/1995,07:15," La Macarena, Colombia",SAETA,,Villavicencio - La Macarena,CASA 212 Aviocar 200,FAC1152,306,22,21,0,"Crashed short of the runway in rain, fog and reduced visibility after diverting from another airport and two landing attempts."
09/16/1995,06:28,"Tamworth, Australia",Tamair,,Training,Swearingen SA.227AC Metro III,VH-NEJ,AC-629B,3,2,0,Struck a tree and crashed while attempting to land. The control inputs of the co-pilot; and the period the landing gear remained extended after the simulated engine failure.
09/24/1995,19:11,"Sterligov Cape, Russia",Norilsk Flight Company,,Cape Chelyuskin - Sterligov Cope,Mil Mi-8T,RA-24553,98522942,15,15,0,Crashed through the ice while attempting to land and sank in shallow water. The weather conditions were below minima and the helicopter exceeded its maximum takeoff weight.
09/27/1995,19:10,"Campbell River, Canada",Western Straits Air,-,Triumph Bay - Campbell River,De Havilland Dash-3,C-FEBX,38,10,8,0,"While on an intercept heading for the final approach and in straight-and-level flight, the aircraft crashed into the side of a 1,047 ft, mountain in heavy fog. The pilot progressively lost situational awareness while attempting to navigate in conditions of low visibility or in cloud and was unaware of the rapidly rising terrain in his flight path."
10/03/1995,08:00,"Gunung Antara, Indonesia",Sabang Merauke Raya Air Charter,1994,Medan - Meulaboh,CASA 212,PK-ZAG,158/28N,14,1,0,Thirty minutes into the flight the aircraft was not able to maintain altitude after oil pressure was lost in the No. 1 engine. Crashed into trees.
12/05/1995,17:55," Azerbaijan, Russia",Azerbaijani Airlines,,Nakhichevan - Baku,Tupolev TU-134B-3,4K-65703,63383,82,54,0,The aircraft crashed shortly after takeoff while attempting to make an emergency landing after the pilot reported problems with the left engine. Vibration caused nuts to work loose from the engine turbine which resulted in engine failure. No fault was found with the right engine and it is believed that it may have been inadvertently shut down by the crew.
12/07/1995,16:36,"Grossevichi, Russia",Far East Aviation,3949,Yushno - Khabarovk,Tupolev TU-154B,RA-85164,76A-0164,98,98,0,"The aircraft crashed into mountainous terrain while en route. Crew error. Fuel-feed selected from wing tanks on one side only, causing an imbalance and banking to the right. The autopilot was able to counteract the imbalance for approximately 35 minutes into the flight."
02/06/1996,20:20,"Ensenada, Mexico",Aérotaxi Cachanilla,,Tijuana - Ensenada,Cessna 500 Citation,XA-SLQ,500-0111,8,8,0,Crashed into a hill in heavy fog while on approach.
03/17/1996,12:37,"Key West, USA",Key West Sea Plane Service - Air Taxi,,,Cessna U206G,N9983Z,U20606794,5,5,0,"The pilot's improper decision to continue the flight rather than making an immediate water landing due to the low altitude of the airplane and obstructions ahead, which led to his intentional maneuver to avoid the obstructions and subsequent inadvertent stall and loss of control."
04/05/1996,18:53," Matsu Island, China",Formosa Airlines,,Taipei - Matsu Island,Dornier 228-212,B-12257,8223,17,6,0,After holding for 30 minutes the aircraft undershot the runway during a visual approach and crashed into the sea in heavy fog.
05/10/1996,15:15,"Otaez, Mexico",Aeroservicios Empresariales de Durango,,Durango - Otaez,de Havilland Canada DHC-6 Twin Otter 200,XA-SWJ,126,19,16,0,Crashed into high ground while attempting to land at a mine airstrip in turbulence and stong gusty winds.
05/11/1996,14:15,"Everglades, USA",ValuJet,592,Miami - Atlanta,McDonnell Douglas DC-9-32,N904VJ,47377/496,110,110,0,"The aircraft crashed 18 miles NW of Miami airport  in a remote part of the Everglades. Shortly after taking off, after the crew reported fire and smoke in the cabin and cockpit. The in-flight fire was caused by activation of one or more oxygen generators in the forward cargo hold. The generators were outdated, improperly labeled, lacked safety caps and were prohibited from being transported on a passenger flight. The loss of control resulted either from flight control failure or incapacitation of the crew due to extreme heat and smoke.  Candi Kubeck was the first American female commercial airline captain to be killed in a crash. San Diego Chargers running back Rodney Culver, 26, and his wife were among the passengers killed as was singer, songwriter Walter Hyatt, 46."
06/12/1996,19:00,"Rollingstone,  Australia",Military - Australian Army Aviation,,,Sikorsky S-70 / Sikorsky S-70,A25-113,70-1186 / 70-1346,28,18,0,The two helicopters collided in mid-air while flying in formation. The pilots may have possibly been  stressed fatigued and inadequately prepared and were flying too low to see the target.
06/21/1996,17:04,"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),,Dalian - Shanghai,Harbin Yunshuji Y-12-II,B-3822,1,12,2,0,The aircraft crashed into a mountain after deviating off course during a landing attempt.
07/06/1996,15:42,"Pensacola, USA",Delta Air Lines,1288,Pensacola - Atlanta,McDonnell Douglas MD-88,N927DA,49714/1524,142,2,0,Fan disk separation in the left engine. Pieces of the engine penetrated the passenger cabin killing two passengers. The fan hub for the left engine was found to be fractured and went undetected at time of manufacture. The crack should have been detectable during inspection but was missed.
07/11/1996,09:00," Kanda, India",Archana Airlines,,Delhi - Shimla - Kulu,Let 410,VT-ETC,942703,9,9,0,The aircraft flew into a Bandi Hill while descending inbound to Kulu in heavy fog.
07/17/1996,20:31,"East Moriches, USA",Trans World Airlines,800,New York City - Paris,Boeing B-747-131,N93119,20083/153,230,230,0,"While on a flight from New York to Paris, France, the aircraft exploded at  FL 130, broke up and crashed into the AtlantiOcean off Long Island, N.Y. The NTSB determined that the probable cause of the accident was an explosion of the center wing fuel tank resulting from ignition of the flammable fuel/air mixture in the tank. The source of ignition energy for the explosion could not be determined with certainty but, of the sources evaluated by the investigation, the most likely was a short circuit outside of the center wing tank that allowed excessive voltage to enter it through electrical wiring associated with the fuel quantity indication system.  To say that numerous government agencies acted strangely and suspiciously would be an understatement.  A great deal of evidence was either suppressed or ignored. Rumors persist that the plane was brought down by a missile, either by the Navy conducting exercises in the area or by terrorists."
07/17/1996,16:35,"Playa del Carmen, Mexico",Aerolatino (Aerocaribe),,Holvox Island - Playa del Carmen,de Havilland Canada DHC-6 Twin Otter 300,XA-TCF,734,18,1,0,Crashed 150 ft. short of the runway.
08/12/1996,13:47,"Markham Bay, Canada",First Air,64,Iqaluit - Markham Bay,de Havilland Canada DHC-6 Twin Otter 300,C-GNDN,427,2,2,0,"After touching down, the cargo plane bounced twice and continued to the end of the runway, became airborne but crashed terrain. For unknown reasons, a decision was made to overshoot even though insufficient runway remained for acceleration, take-off, and climb. Likely contributing directly to the decision to overshoot was the difficulty in controlling the aircraft on touchdown."
